Si


__________________________________________________________________________________________
            LABORATORIO DE DIAGNOSTICO VETERINARIO VILLA MARIA
                                                        
    Alsina y Salgado - Tel:02227-422805/2227580395 - B7240INJ  Lobos (Bs.As.)   
   e-mail : lobos@labvima.com.ar         
                         INFORME  DE  RESULTADOS                                

Informe Nº      :  5433244                                    Especie (**): BOVINO                        
Profesional(**) : Asoc. Rural de Chivilcoy - ECLO Nº 67    Inscripción(**):   0-   0- 0
Propietario(**) : Divita Marina                             Fecha de Ingr.:06/12/2024
Domicilio  (**) :  Mercedes                                  Fecha Proceso :06/12/2024
Muestra Recibida: Leche                             Muestras Recibidas(**): 738
(**) Información suministrada por el cliente.

CALIDAD DE LECHE - Composición - Espectrofotometría Infrarroja - ISO 9622:2013/IDF141:2013.
CALIDAD DE LECHE - Recuento de Células Somáticas-Fluorometría Láser - ISO13366-2:2006/IDF148-2:2006.
CALIDAD DE LECHE - Recuento de Microorganismos totales a 30ºC,ISO 4833:2013-Amd1:2022.
CALIDAD DE LECHE - Recuento de Microorganismos totales-Instrumental-Citometría Láser
CALIDAD DE LECHE - Determinación del punto de Congelación(Crioscopía)-Instrumental - ISO 5764:2009(E)-IDF 108:2009(E)
CALIDAD DE LECHE - Determinación de MUN  - Instrumental - Enzimático     
__________________________________________________________________________________________
           M  G    Protei  Lacto  S  T    R C S   R M    Crioscopía Inhib Bruc. MUN   
Identif  g/100ml g/100ml g/100ml  g/100ml cél/ml  ufc/ml    mºC              mg/dl  
                                          x 1000  x 1000                              
__________________________________________________________________________________________
         1  4.17    3.53   4.81   13.89      736                                   
         2  6.06    4.05   4.91   16.48       17                                   
         3  4.48    3.38   4.59   13.67     1286                                   
         4  3.42    3.26   4.77   12.69      132                                   
         5  5.53    3.64   4.74   15.26       44                                   
         6  4.03    4.07   4.85   14.21      637                                   
         7  3.31    3.54   4.62   12.75      801                                   
         8  4.65    3.48   4.98   14.53      713                                   
         9  3.74    4.02   3.80   12.78     5231                                   
        10  4.93    3.15   4.52   13.65     1429                                   
        11  4.27    3.91   4.83   14.24      112                                   
        12  4.92    3.53   4.59   14.80       63                                   
        13  5.49    3.87   4.44   15.19      466                                   
        14  3.40    3.34   3.74   11.64      426                                   
        15  4.36    4.25   3.24   12.91      364                                   
        16  4.17    3.65   4.51   13.59     2367                                   
        17  4.22    3.38   4.77   13.57      160                                   
        18  4.45    3.53   4.99   14.14       74                                   
        19  5.74    3.42   4.93   15.56      380                                   
        20  5.18    3.12   4.81   14.34     1507                                   
        21  4.44    3.95   4.91   14.69     1754                                   
        22  4.69    4.02   4.80   14.98      382                                   
        23  4.84    3.66   4.89   14.78      703                                   
        24  4.02    3.99   4.70   14.01     5503                                   
        25  4.35    4.23   4.84   14.75      120                                   
        26  4.41    3.94   4.38   14.44     1417                                   
        27  5.47    4.09   4.56   15.46     3341                                   
        28  4.60    3.90   4.88   14.78      365                                   
        29  4.72    3.95   4.82   14.93      630                                   
        30  4.91    4.19   4.83   15.43      462                                   
        31  5.11    4.05   4.63   15.22     1596                                   
        32  7.00    4.25   4.49   17.25     1815                                   
        33  5.30    4.02   5.19   15.99      646                                   
        34  5.45    3.89   4.64   15.53     4289                                   
        35  5.00    3.55   5.10   14.97      736                                   
        36  5.03    4.45   4.39   15.30       16                                   
        37  4.06    3.87   4.89   14.12     1491                                   
        38  6.01    4.64   4.42   16.56     1639                                   
        39  5.29    3.86   4.66   15.02      523                                   
        40  4.83    3.54   4.92   14.56     4800                                   
        41  6.34    3.88   4.85   16.54      127                                   
        42  4.37    4.07   4.86   14.58     1171                                   
        43  4.29    4.08   5.08   14.83      137                                   
        44  4.38    4.17   4.59   14.47      617                                   
        45  4.17    4.46   4.83   14.87      518                                   
        46  3.42    3.82   5.30   13.81     2338                                   
        47  4.07    3.56   4.87   13.66     1660                                   
        48  3.95    3.69   4.90   14.18      203                                   
        49  4.15    4.28   4.91   14.72      846                                   
        50  4.02    3.94   4.75   14.32      179                                   
        51  4.23    3.84   4.92   15.07      104                                   
        52  4.91    3.49   5.02   15.63     1442                                   
        53  4.05    3.42   4.88   14.70      686                                   
        54  4.29    3.21   4.85   13.96     1867                                   
        55  3.80    3.30   4.95   14.19      908                                   
        56  3.98    3.45   4.88   14.85     1337                                   
        57  3.88    3.44   4.95   14.65     3083                                   
        58                                     0                                   
        59  4.57    3.90   4.61   14.25     1518                                   
        60  3.89    3.86   5.06   15.61      885                                   
        61  3.98    4.10   4.98   15.87      109                                   
        62  3.25    3.78   4.95   14.72     2304                                   
        63  4.05    3.91   4.94   14.42      239                                   
        64  3.93    3.82   4.79   15.59     1413                                   
        65  5.13    3.79   4.86   16.35      894                                   
        66  4.52    3.89   4.97   16.96      757                                   
        67  4.54    3.93   5.05   16.85     2067                                   
        68  4.21    3.87   4.96   16.77      772                                   
        69  6.34    4.82   4.87   17.69     1409                                   
        70  4.44    4.35   4.96   15.25     2970                                   
        71  4.38    3.79   4.87   15.11      365                                   
        72  4.01    3.99   4.79   15.22      218                                   
        73  4.85    3.82   5.09   15.86      251                                   
        74  4.41    3.71   5.05   15.21     2147                                   
        75  3.98    3.86   4.81   14.81     1270                                   
        76  3.70    3.95   5.17   14.88     1052                                   
        77  3.87    3.84   4.91   14.69      361                                   
        78  3.86    4.12   4.82   14.11      310                                   
        79  4.62    3.95   5.05   15.49      247                                   
        80  3.54    4.41   4.75   14.06      234                                   
        81  4.29    3.76   4.87   14.58      137                                   
        82  5.26    4.53   4.92   16.15      568                                   
        83  3.91    3.73   4.94   16.11      626                                   
        84  3.87    3.81   4.93   14.80     2067                                   
        85  4.80    3.93   5.13   15.73     1008                                   
        86  4.33    3.86   4.97   14.94     1013                                   
        87  3.89    3.77   5.02   15.64      137                                   
        88  5.21    3.88   4.86   15.81      611                                   
        89  4.12    3.99   4.94   15.85     3066                                   
        90  4.06    3.71   4.81   15.96     1639                                   
        91  4.86    4.35   4.83   15.59      648                                   
        92  4.43    3.95   4.99   15.42     2288                                   
