Si


__________________________________________________________________________________________
            LABORATORIO DE DIAGNOSTICO VETERINARIO VILLA MARIA
                                                        
    Alsina y Salgado - Tel:02227-422805/2227580395 - B7240INJ  Lobos (Bs.As.)   
   e-mail : lobos@labvima.com.ar         
                         INFORME  DE  RESULTADOS                                

Informe Nº      :   972254                                    Especie (**): BOVINO                        
Profesional(**) : Asoc. Rural de Chivilcoy - ECLO Nº 67    Inscripción(**):   0-   0- 0
Propietario(**) : Divita Marina                             Fecha de Ingr.:28/02/2025
Domicilio  (**) :  Mercedes                                  Fecha Proceso :28/02/2025
Muestra Recibida: Leche                             Muestras Recibidas(**): 631
(**) Información suministrada por el cliente.

CALIDAD DE LECHE - Composición - Espectrofotometría Infrarroja - ISO 9622:2013/IDF141:2013.
CALIDAD DE LECHE - Recuento de Células Somáticas-Fluorometría Láser - ISO13366-2:2006/IDF148-2:2006.
CALIDAD DE LECHE - Recuento de Microorganismos totales a 30ºC,ISO 4833:2013-Amd1:2022.
CALIDAD DE LECHE - Recuento de Microorganismos totales-Instrumental-Citometría Láser
CALIDAD DE LECHE - Determinación del punto de Congelación(Crioscopía)-Instrumental - ISO 5764:2009(E)-IDF 108:2009(E)
CALIDAD DE LECHE - Determinación de MUN  - Instrumental - Enzimático     
__________________________________________________________________________________________
           M  G    Protei  Lacto  S  T    R C S   R M    Crioscopía Inhib Bruc. MUN   
Identif  g/100ml g/100ml g/100ml  g/100ml cél/ml  ufc/ml    mºC              mg/dl  
                                          x 1000  x 1000                              
__________________________________________________________________________________________
         1  3.29    3.08   4.90   11.28      304                                   
         2  6.50    3.64   4.84   14.73      112                                   
         3  6.34    4.03   4.75   13.14      910                                   
         4  2.49    3.31   5.17   11.06       67                                   
         5  3.81    2.86   5.07   11.67     1210                                   
         6  4.42    3.24   5.00   11.70     2170                                   
         7  5.82    3.06   4.96   10.96      352                                   
         8  3.91    3.83   5.08   11.91      421                                   
         9  8.48    3.38   4.46   11.40      316                                   
        10  2.88    3.70   4.95   10.88      462                                   
        11  7.55    3.89   5.20   12.51       73                                   
        12  3.14    2.95   4.58   10.64     1232                                   
        13  4.56    3.84   4.96   12.82     1398                                   
        14  5.91    3.73   5.04   11.37       50                                   
        15  6.01    3.86   4.74   11.98      137                                   
        16  6.75    3.90   4.95   12.24      475                                   
        17  4.03    3.86   4.94   11.12      365                                   
        18  4.99    2.72   5.05   11.95      519                                   
        19  4.50    3.36   4.41   11.34      293                                   
        20  4.90    3.01   4.96   10.92      284                                   
        21  4.31    3.07   4.90   11.32     1224                                   
        22  4.64    2.74   4.79   11.01     2142                                   
        23  4.80    3.37   4.94   12.09      404                                   
        24  4.56    3.30   5.17   11.12      563                                   
        25  4.80    2.84   5.06   11.61     1368                                   
        26  4.72    3.50   4.96   12.22     1570                                   
        27  4.04    3.06   4.95   11.13     3563                                   
        28  4.91    2.93   5.08   11.91      917                                   
        29  4.55    3.37   4.46   11.44     1203                                   
        30  2.86    2.78   4.92   10.81     1550                                   
        31  3.63    3.69   5.20   12.60      575                                   
        32  4.13    2.97   4.60   10.69      730                                   
        33  4.69    3.96   4.99   12.97      892                                   
        34  2.85    3.82   5.04   11.29      846                                   
        35  4.03    3.86   4.74   12.02     1245                                   
        36  4.63    3.81   4.96   12.15     1354                                   
        37  4.02    3.08   4.95   11.13     2348                                   
        38  4.99    2.93   5.07   11.97      419                                   
        39  4.54    3.37   4.44   11.39     2310                                   
        40  4.89    3.01   4.95   10.92     1291                                   
        41  4.30    3.06   4.90   11.30     7338                                   
        42  4.70    2.75   4.80   11.08      515                                   
        43  4.74    3.37   4.96   12.03     3189                                   
        44  4.54    3.28   5.15   11.06     2475                                   
        45  3.80    2.84   5.06   11.63     2614                                   
        46  3.77    3.50   4.97   12.27     2568                                   
        47  4.04    3.06   4.95   11.13     1271                                   
        48  4.00    2.91   5.07   11.96     3121                                   
        49  3.49    3.36   4.44   11.35     2336                                   
        50  2.80    2.99   4.94   10.78      744                                   
        51  4.60    3.70   5.22   12.58     1176                                   
        52  4.13    2.96   4.61   10.66     1230                                   
        53  4.67    3.34   4.98   12.91     1399                                   
        54  4.84    3.32   5.03   11.30     1244                                   
        55  4.00    3.27   4.75   12.01     4540                                   
        56  3.62    2.93   4.98   11.49     1250                                   
        57  4.10    3.17   5.00   11.34     2135                                   
        58  5.39    3.36   4.92   13.54     4517                                   
        59  4.67    3.32   4.97   12.84     1562                                   
        60  3.49    3.08   4.93   11.52     1398                                   
        61  4.32    3.07   4.91   11.33     1224                                   
        62  3.52    2.75   4.80   10.94     4566                                   
        63  4.70    3.39   4.96   12.05     1196                                   
        64  4.56    3.31   5.17   11.14      868                                   
        65  4.76    2.85   5.08   11.62      921                                   
        66  4.67    2.92   4.97   11.49     1252                                   
        67  4.41    3.16   4.94   11.56     1344                                   
        68  4.38    3.37   4.93   13.58      927                                   
        69  4.64    3.32   4.97   12.80     1271                                   
        70  3.46    3.08   4.93   11.47     1475                                   
        71  3.61    3.70   5.20   12.58     1571                                   
        72                                     0                                   
        73  4.62    3.37   5.00   12.92     2211                                   
        74                                     0                                   
        75  4.01    3.27   4.75   12.01     2133                                   
        76  4.64    2.95   4.98   11.53     1144                                   
        77  4.48    3.17   4.95   11.64     2138                                   
        78  5.41    3.38   4.92   13.56      514                                   
        79  4.78    3.32   4.97   12.93     1271                                   
        80  3.52    3.09   4.93   11.55      484                                   
        81  3.29    3.08   4.90   11.29      510                                   
        82  3.67    2.77   4.81   11.11      529                                   
        83  4.73    3.39   4.95   12.07     1289                                   
        84  4.56    3.30   5.16   11.12      462                                   
        85  4.66    2.86   5.08   11.55      208                                   
        86  4.48    2.94   4.98   11.56      352                                   
        87  3.45    3.17   4.95   11.60     1243                                   
        88  5.40    3.36   4.93   13.53      717                                   
        89  4.76    3.31   4.96   12.88     2162                                   
        90  3.47    3.07   4.92   11.48      191                                   
        91  3.61    3.71   5.20   12.60     1569                                   
        92  3.26    2.98   4.60   10.80      928                                   
        93                                     0                                   
