Si


__________________________________________________________________________________________
            LABORATORIO DE DIAGNOSTICO VETERINARIO VILLA MARIA
                                                        
    Alsina y Salgado - Tel:02227-422805/2227580395 - B7240INJ  Lobos (Bs.As.)   
   e-mail : lobos@labvima.com.ar         
                         INFORME  DE  RESULTADOS                                

Informe Nº      :  2571254                                    Especie (**): BOVINO                        
Profesional(**) : Asoc. Rural de Chivilcoy - ECLO Nº 67    Inscripción(**):   0-   0- 0
Propietario(**) : Divita Marina                             Fecha de Ingr.:11/06/2025
Domicilio  (**) :  Mercedes                                  Fecha Proceso :11/06/2025
Muestra Recibida: Leche                             Muestras Recibidas(**): 564
(**) Información suministrada por el cliente.

CALIDAD DE LECHE - Composición - Espectrofotometría Infrarroja - ISO 9622:2013/IDF141:2013.
CALIDAD DE LECHE - Recuento de Células Somáticas-Fluorometría Láser - ISO13366-2:2006/IDF148-2:2006.
CALIDAD DE LECHE - Recuento de Microorganismos totales a 30ºC,ISO 4833:2013-Amd1:2022.
CALIDAD DE LECHE - Recuento de Microorganismos totales-Instrumental-Citometría Láser
CALIDAD DE LECHE - Determinación del punto de Congelación(Crioscopía)-Instrumental - ISO 5764:2009(E)-IDF 108:2009(E)
CALIDAD DE LECHE - Determinación de MUN  - Instrumental - Enzimático     
__________________________________________________________________________________________
           M  G    Protei  Lacto  S  T    R C S   R M    Crioscopía Inhib Bruc. MUN   
Identif  g/100ml g/100ml g/100ml  g/100ml cél/ml  ufc/ml    mºC              mg/dl  
                                          x 1000  x 1000                              
__________________________________________________________________________________________
         1  5.52    4.55   4.79   15.69      452                                   
         2  5.50    4.20   4.65   15.27      760                                   
         3  5.85    3.77   4.82   15.27      311                                   
         4  3.95    3.78   5.29   13.78      205                                   
         5  6.51    4.44   4.81   16.70      131                                   
         6  5.47    4.43   4.42   15.12      232                                   
         7  4.36    3.50   4.90   13.61      115                                   
         8  5.04    3.41   4.80   14.18       55                                   
         9  4.78    3.31   4.76   13.67      777                                   
        10  4.70    3.88   5.12   14.56      254                                   
        11  5.08    4.27   4.72   14.86     1016                                   
        12  4.01    3.53   4.78   13.04     1004                                   
        13  3.94    3.38   4.50   12.55     1661                                   
        14  5.89    4.03   4.71   15.47      900                                   
        15  4.71    3.93   4.78   14.25      267                                   
        16  5.01    3.26   4.54   13.59     1579                                   
        17  6.73    4.48   4.88   17.07       80                                   
        18  5.40    4.14   4.74   15.12      309                                   
        19  6.82    4.41   4.92   17.08       27                                   
        20  8.03    4.09   4.61   17.74      515                                   
        21  5.90    3.61   4.88   15.31      628                                   
        22  4.53    4.02   4.85   14.26     1359                                   
        23  5.12    4.20   4.65   14.74      657                                   
        24  4.94    3.74   4.60   14.07     1233                                   
        25  4.61    3.59   4.87   13.86      392                                   
        26  4.60    3.79   4.25   13.46     2128                                   
        27                                     0                                   
        28  4.61    3.68   4.93   14.01      280                                   
        29  4.78    4.17   4.81   14.53      456                                   
        30  5.36    4.55   4.32   15.15     1353                                   
        31  4.82    4.11   4.71   14.33     1158                                   
        32  5.68    4.26   4.86   15.53      407                                   
        33  5.61    3.86   4.70   15.06      155                                   
        34  2.74    4.26   3.20   10.82      525                                   
        35  3.18    4.26   3.35   11.45     1107                                   
        36  6.08    4.20   4.52   15.73      699                                   
        37  6.35    3.91   4.62   15.84      120                                   
        38  7.04    4.11   4.67   16.80      479                                   
        39  6.01    4.31   4.61   15.86      710                                   
        40  6.37    4.48   4.75   16.47      405                                   
        41  6.20    4.34   4.76   16.18      200                                   
        42  5.67    3.96   4.93   15.36      812                                   
        43  5.66    4.08   4.73   15.31      405                                   
        44  5.13    3.82   4.59   14.61      441                                   
        45  5.39    4.06   4.58   14.87     1101                                   
        46  5.76    3.99   4.41   14.92     1038                                   
        47  4.76    3.62   4.75   13.90     1048                                   
        48  5.37    3.66   4.67   14.53      330                                   
        49  5.44    3.69   4.65   14.62     1009                                   
        50  5.72    3.90   4.54   15.06      576                                   
        51  5.65    4.15   4.33   15.05      182                                   
        52  5.80    4.22   4.62   15.61      680                                   
        53  5.99    3.94   4.63   15.47      160                                   
        54  4.84    3.80   4.76   14.26     1020                                   
        55  5.82    4.04   4.66   15.45      179                                   
        56  5.61    3.99   4.71   15.16      359                                   
        57  5.51    3.87   4.82   15.03      608                                   
        58  5.48    3.85   4.83   15.01      182                                   
        59  5.78    3.72   4.78   15.17      622                                   
        60  5.75    3.71   4.62   15.01      381                                   
        61  5.83    3.83   4.67   15.25      494                                   
        62  5.82    3.98   4.68   15.40      492                                   
        63  5.90    4.02   4.66   15.49      808                                   
        64  5.91    4.16   4.66   15.68      517                                   
        65  5.79    4.10   4.66   15.53     1441                                   
        66  5.32    4.04   4.72   15.08      931                                   
        67  5.99    3.98   4.68   15.63     1260                                   
        68  5.76    4.04   4.59   15.32      653                                   
        69  5.84    3.96   4.58   15.31      434                                   
        70  5.95    3.88   4.55   15.32      800                                   
        71  5.88    3.80   4.56   15.17     1020                                   
        72  5.71    3.82   4.47   14.86      142                                   
        73  5.90    3.96   4.42   15.16      729                                   
        74  5.95    3.99   4.42   15.25      865                                   
        75  5.76    4.03   4.49   15.16     1026                                   
        76  5.88    4.14   4.48   15.38      697                                   
        77  6.01    4.09   4.48   15.45      781                                   
        78  6.36    3.99   4.52   15.76      334                                   
        79  6.57    3.94   4.67   16.02      936                                   
        80  6.49    4.00   4.65   16.04      582                                   
        81  6.31    3.93   4.59   15.74     1002                                   
        82  6.25    4.01   4.45   15.58      298                                   
        83  6.64    4.33   4.37   16.29      506                                   
        84  6.62    4.17   4.47   16.26     1160                                   
        85  6.00    3.89   4.45   15.26      467                                   
        86  6.51    3.78   4.43   15.76       52                                   
        87  6.69    4.25   4.39   16.28      550                                   
        88  6.39    4.24   4.06   15.65      795                                   
        89  6.25    4.21   4.14   15.53     1638                                   
        90  5.99    3.99   4.37   15.27      193                                   
        91  5.85    3.93   4.42   15.07      688                                   
        92  4.51    3.11   3.33   11.77      714                                   
        93  5.88    3.88   4.47   15.17     1346                                   
        94                                     0                                   
